School Name,URL,State,Address,Latitude,Longitude
William Paterson University,http://wpunj.edu,NJ,"300 Pompton Rd, Wayne, NJ 07470, USA",40.9459095,-74.1985325
County College of Morris,http://ccm.edu,NJ,"214 Center Grove Rd, Randolph, NJ 07869, USA",40.8581057,-74.5814259
Camden County College,http://camdencc.edu,NJ,"200 COLLEGE DR, BLACKWOOD, NJ 08012",39.7848016,-75.0383435
Passaic County Community College,http://pccc.edu,NJ,"1 College Blvd, Paterson, NJ 07505, USA",40.9184681,-74.1686768
Ross University,http://rossu.edu,NJ,"485 US Highway 1 South, Building B, 4th Floor, Iselin, NJ 08830",40.5552628,-74.3142545
Adelphi University,http://adelphi.edu,NY,"1 South Avenue, Garden City, NY 11530",40.7200782,-73.6515481
University at Albany,http://albany.edu,NY,"1400 Washington Ave, Albany, NY 12222, USA",42.689933,-73.8299829
Alfred University,http://alfred.edu,NY,"1 Saxon Dr, Alfred, NY 14802, USA",42.2558218,-77.786103
The American Musical and Dramatic Academy,http://amda.edu,NY,"211 W 61st St, New York, NY 10023, USA",40.7723851,-73.9878775
Bard College,http://bard.edu,NY,"30 Campus Rd, Annandale-On-Hudson, NY 12504, USA",42.0193866,-73.9076429
Barnard College,http://barnard.edu,NY,"3009 Broadway, New York, NY 10027, USA",40.8090498,-73.9637687
Binghamton University,http://binghamton.edu,NY,"4400 Vestal Pkwy E, Binghamton, NY 13902, USA",42.0874939,-75.9658689
The College at Brockport,http://brockport.edu,NY,"Monroe Ave, Brockport, NY 14420, USA",43.212997,-77.943944
University at Buffalo,http://buffalo.edu,NY,"190 Founders Prom, Amherst, NY 14068, USA",43.0010444,-78.7877504
Buffalo State University,http://buffalostate.edu,NY,"1300 Elmwood Ave, Buffalo, NY 14222, USA",42.9331648,-78.8877643
Cazenovia College,http://cazenovia.edu,NY,"22 Sullivan St, Cazenovia, NY 13035, USA",42.9324543,-75.8550304
Clarkson University,http://clarkson.edu,NY,"8 Clarkson Ave, Potsdam, NY 13699, USA",44.6659054,-74.9925397
Clinton Community College,http://clinton.edu,NY,"136 Clinton Point Dr, Plattsburgh, NY 12901, USA",44.648192,-73.439933
The College of New Rochelle,http://cnr.edu,NY,"29 Castle Pl, New Rochelle, NY 10805, USA",40.901388,-73.782075
Cobleskill University,http://cobleskill.edu,NY,"106 Suffolk Cir, Cobleskill, NY 12043, USA",42.671256,-74.4993144
Colgate University,http://colgate.edu,NY,"13 Oak Dr E Ext, Hamilton, NY 13346, USA",42.8183255,-75.5364956
Columbia University in the City of New York,http://columbia.edu,NY,"116th and Broadway, New York, NY 10027, USA",40.8079838,-73.9637988
The Cooper Union,http://cooper.edu,NY,"30 Cooper Sq, New York, NY 10003, USA",40.7281197,-73.9916115
Cornell University,http://cornell.edu,NY,"410 THURSTON AVE,  ITHACA, NY 14853",42.4539265,-76.4843143
Cortland College,http://cortland.edu,NY,"MILLER BUILDING, CORTLAND, NY 13045",42.5989977,-76.1877473
The City University of New York,http://cuny.edu,NY,"205 E 42nd St, New York, NY 10017",40.7509381,-73.9735038
The College of Westchester,http://cw.edu,NY,"325 Central Ave, White Plains, NY 10606, USA",41.0336542,-73.7844278
Daemen College,http://daemen.edu,NY,"4380 Main St, Amherst, NY 14226, USA",42.9650703,-78.7897573
Dominican College,http://dc.edu,NY,"470 Western Hwy S, Orangeburg, NY 10962, USA",41.0512508,-73.9526864
Delhi State University of New York,http://delhi.edu,NY,"454 Delhi Dr, Delhi, NY 13753, USA",42.2698453,-74.924572
Dowling College,http://dowling.edu,NY,"150 Idle Hour Blvd, Oakdale, NY 11769, USA",40.7422255,-73.1481218
D'Youville College,http://dyc.edu,NY,"320 Porter Avenue, Buffalo, New York 14201",42.9025892,-78.890939
